MonthlyCharges,tenure,TotalCharges,Churn_Yes
20.65,41,835.15,False
85.2,27,2151.6,False
99.8,56,5515.45,False
20.7,6,112.75,False
74.4,3,229.55,True
50.7,7,350.35,False
20.85,4,62.9,False
88.95,33,3027.65,False
78.05,27,2135.5,True
23.55,72,1723.95,False
19.75,1,19.75,False
56.45,71,3985.35,False
85.95,13,1215.65,False
58.6,25,1502.65,True
50.55,67,3260.1,False
35.45,1,35.45,True
44.35,2,81.25,True
25.7,43,1188.2,False
75.0,23,1778.5,False
20.2,64,1277.75,False
19.6,57,1170.55,False
70.45,1,70.45,True
88.05,72,6425.65,False
71.15,8,563.65,True
101.05,61,5971.25,False
84.3,64,5289.05,False
23.95,71,1756.2,False
99.05,65,6416.7,False
19.6,3,61.35,False
45.65,1,45.65,True
64.5,30,1929.95,False
69.5,15,1071.4,False
68.55,8,564.35,False
95.0,7,655.5,True
108.15,70,7930.55,False
86.1,62,5215.25,False
19.7,6,113.5,False
80.9,14,1152.8,False
84.15,22,1821.95,False
20.15,22,419.9,False
64.25,16,1024.0,False
25.7,10,251.6,False
56.0,13,764.55,False
82.4,20,1592.35,True
69.7,2,135.2,False
73.9,53,3958.25,False
20.6,11,233.9,False
19.9,69,1363.45,False
70.9,4,273.0,True
89.05,72,6254.45,False
45.3,58,2651.2,True
20.4,16,321.4,False
84.25,43,3539.25,False
104.4,2,242.8,True
81.95,14,1181.75,False
94.85,53,5000.2,True
20.55,32,654.55,False
24.7,34,780.2,False
74.45,15,1145.7,True
76.45,7,503.6,True
105.35,15,1559.25,False
20.55,61,1252.0,False
29.95,1,29.95,True
45.3,1,45.3,False
84.5,8,662.65,True
74.75,33,2453.3,False
79.25,13,1111.65,True
24.8,1,24.8,True
51.8,20,1023.85,False
30.4,3,82.15,False
19.65,13,244.8,False
56.6,40,2379.1,False
71.9,43,3173.35,False
91.0,6,531.0,True
19.75,69,1375.4,False
109.7,72,8129.3,False
19.3,59,1192.7,False
96.55,20,1901.65,False
24.1,24,587.4,False
111.35,59,6519.75,False
112.25,72,8041.65,False
20.75,1,20.75,False
101.9,27,2681.15,False
80.05,14,1112.3,False
105.55,71,7405.5,False
78.3,13,1033.95,False
68.85,44,2958.95,False
79.95,33,2684.85,False
55.45,72,4179.2,False
79.9,1,79.9,True
106.6,19,1934.45,True
102.45,64,6654.1,False
46.0,2,84.5,True
25.25,1,25.25,False
19.75,61,1124.2,False
20.0,29,540.05,False
86.8,23,1975.85,False
58.75,57,3437.45,False
45.25,72,3139.8,False
56.6,66,3789.2,False
84.2,65,5324.5,False
80.0,8,624.6,False
70.15,4,268.35,True
24.75,71,1836.9,False
20.2,1,20.2,False
50.05,4,179.35,True
19.35,12,219.35,False
50.6,24,1288.75,False
81.15,31,2545.75,False
55.2,1,55.2,True
89.9,30,2723.15,False
85.3,47,4107.25,False
108.0,54,5760.65,False
93.5,50,4747.5,False
84.6,1,84.6,True
20.25,72,1566.9,False
25.15,29,702.0,False
54.4,2,114.1,True
29.6,10,299.05,False
73.15,18,1305.95,False
95.0,11,1120.3,True
19.75,16,284.35,False
86.6,72,6350.5,False
109.2,72,7878.3,False
74.7,41,3187.65,False
94.4,65,6126.15,False
54.8,13,731.3,False
75.35,4,273.4,False
65.0,41,2531.8,False
74.4,15,1074.3,True
48.55,1,48.55,True
99.0,42,4298.45,False
93.5,51,4619.55,False
70.4,2,147.15,True
40.2,1,40.2,True
83.7,32,2633.3,False
19.85,10,193.05,False
59.55,67,4103.9,False
115.1,61,7008.15,False
114.35,50,5791.1,False
44.6,2,80.55,True
45.0,29,1228.65,False
41.15,3,132.2,True
106.9,13,1364.3,True
89.85,57,4925.35,False
49.85,31,1520.1,False
113.3,45,5032.25,False
88.1,61,5526.75,False
24.9,50,1195.25,False
105.0,19,2007.25,False
19.35,59,1099.6,True
24.25,71,1732.95,False
94.45,16,1511.2,True
59.75,57,3450.15,False
24.8,1,24.8,True
107.05,20,2172.05,False
70.6,1,70.6,True
85.4,5,401.1,True
105.05,52,5624.85,True
64.95,21,1339.8,False
55.0,14,771.95,False
50.55,5,244.75,False
55.15,6,322.9,False
51.2,10,498.25,False
25.4,1,25.4,False
54.45,68,3687.75,False
95.15,18,1779.95,True
76.0,22,1783.6,False
44.35,20,927.15,False
70.0,1,70.0,True
74.5,8,606.55,True
44.85,10,435.4,True
76.1,24,1712.7,True
61.2,35,2021.2,False
86.8,23,1940.8,False
89.35,6,567.8,False
19.7,12,220.35,False
20.25,1,20.25,False
76.05,71,5436.45,False
100.8,35,3437.5,False
74.55,40,3015.75,False
73.6,1,73.6,True
64.9,23,1509.8,False
95.45,4,396.1,True
90.4,4,356.65,False
60.3,68,4109.0,False
81.85,38,3141.7,False
24.8,52,1229.1,False
74.9,32,2303.35,True
75.55,29,2054.4,False
101.15,38,3741.85,False
78.75,48,3682.45,False
19.25,1,19.25,False
89.05,22,1886.25,False
115.05,43,4895.1,False
69.35,5,341.6,False
80.6,5,415.55,True
110.05,51,5686.4,False
19.9,71,1355.1,False
80.3,38,3058.65,True
93.15,24,2231.05,True
91.5,35,3236.35,False
82.45,54,4350.1,True
60.0,72,4264.0,False
44.8,1,44.8,False
48.6,9,422.3,False
60.05,69,4176.7,False
102.7,52,5138.1,False
82.9,11,880.05,False
70.35,2,139.05,True
35.9,28,973.65,False
82.65,17,1470.05,False
19.85,35,739.35,False
19.2,8,161.95,False
94.9,46,4422.95,False
73.85,7,511.25,True
80.6,2,155.8,True
75.8,68,5293.95,True
104.6,43,4759.85,True
88.15,68,6148.45,False
94.8,36,3565.65,False
103.4,63,6603.0,True
54.65,32,1830.1,False
85.75,71,6223.8,False
67.45,66,4508.65,False
20.5,63,1328.15,False
20.25,41,865.0,False
72.1,1,72.1,False
90.4,2,168.2,True
19.45,70,1303.5,False
44.95,23,996.85,False
97.0,64,6430.9,False
62.8,37,2278.75,False
44.6,17,681.4,False
89.15,7,574.35,False
84.8,4,371.9,True
41.9,21,840.1,True
80.25,10,846.0,True
54.1,16,889.0,False
105.25,64,6823.4,False
30.75,27,805.1,True
97.1,42,4016.75,False
20.2,5,83.75,False
98.8,41,3959.15,False
50.3,58,2878.55,False
20.55,47,945.7,False
75.9,18,1373.05,False
96.5,5,492.55,True
59.95,23,1406.0,False
19.15,1,19.15,False
98.65,71,6962.85,False
112.6,72,8126.65,False
20.6,33,690.25,False
85.65,2,181.5,True
35.75,24,830.8,False
99.75,56,5608.4,False
96.1,37,3646.8,False
85.1,43,3662.25,False
25.35,1,25.35,False
104.95,25,2566.5,True
89.65,61,5308.7,False
86.75,17,1410.25,False
86.2,41,3339.05,False
50.65,1,50.65,True
64.8,72,4732.35,False
90.85,1,90.85,True
108.1,48,5067.45,False
19.95,11,214.75,True
85.45,55,4874.7,True
54.75,42,2348.45,False
90.4,44,4063.0,False
44.0,1,44.0,False
95.6,27,2595.25,False
84.8,27,2309.55,False
44.3,2,89.3,False
19.9,19,367.55,False
95.05,42,3944.5,False
90.05,66,5965.95,False
109.9,33,3694.7,False
73.95,34,2524.45,True
54.6,33,1803.7,False
20.05,23,415.1,False
19.75,32,624.15,False
20.05,11,237.7,False
99.45,69,7007.6,True
55.9,68,3848.8,False
19.7,20,419.4,False
19.8,72,1468.75,False
95.4,60,5812.0,False
93.95,32,2861.45,False
19.9,1,19.9,True
19.6,1,19.6,True
81.35,3,233.7,True
24.45,46,1066.15,False
74.95,29,2149.05,False
87.35,51,4473.0,False
70.65,48,3545.05,False
73.25,16,1195.75,False
98.7,70,6858.9,False
24.8,40,1024.7,False
83.3,22,1845.9,True
75.3,1,75.3,True
24.3,5,132.25,False
69.85,7,515.45,False
100.55,29,2830.45,False
25.7,44,1110.5,False
40.7,10,449.3,False
51.65,55,2838.55,False
105.1,52,5376.4,False
85.95,10,858.6,False
75.6,18,1395.05,False
58.25,68,3975.7,False
19.4,61,1182.55,True
65.2,72,4784.45,False
53.45,2,119.5,False
45.4,12,518.9,True
19.75,41,899.45,False
44.45,26,1183.8,False
20.85,36,720.05,False
114.05,72,8468.2,False
89.85,35,3161.2,False
55.05,1,55.05,False
112.95,16,1882.55,False
101.55,49,5070.4,False
114.65,54,6049.5,False
64.8,18,1166.7,False
80.4,36,2937.65,False
105.9,60,6396.45,True
69.55,1,69.55,True
25.05,52,1270.25,False
94.75,8,759.55,False
105.5,72,7611.55,False
24.7,64,1642.75,False
69.75,22,1545.4,False
60.2,60,3582.4,False
81.05,28,2227.1,True
24.4,61,1417.9,False
104.15,24,2494.65,False
92.9,28,2768.35,False
80.8,30,2369.3,False
20.0,2,38.0,False
75.1,1,75.1,False
19.65,6,100.9,False
69.45,24,1614.05,False
101.15,4,385.9,True
99.8,7,673.25,True
116.05,72,8404.9,False
40.05,70,2799.75,False
102.1,64,6538.45,False
89.7,72,6588.95,False
19.9,44,868.1,False
55.95,13,734.35,True
20.65,17,330.6,False
55.0,1,55.0,True
70.05,9,564.4,False
53.6,24,1315.35,False
74.7,1,74.7,True
80.25,24,1861.5,True
76.05,35,2747.2,False
75.7,7,554.05,False
96.1,5,453.4,True
69.0,15,994.8,True
19.65,11,225.75,False
45.3,48,2145.0,True
81.45,20,1671.6,False
108.5,72,8003.8,False
83.55,8,680.05,True
84.5,72,6130.85,False
100.15,15,1415.0,False
88.6,72,6201.95,False
74.35,1,74.35,True
104.8,63,6597.25,False
59.0,2,114.15,False
74.4,2,139.4,True
64.05,61,3902.6,False
20.4,1,20.4,False
43.75,22,903.6,True
60.9,28,1785.65,False
19.8,70,1397.65,False
28.45,5,131.05,True
99.7,12,1238.45,True
116.25,34,3899.05,False
80.7,71,5676.0,False
65.2,70,4543.15,False
84.05,52,4326.8,False
79.45,69,5502.55,False
94.1,20,1782.4,True
78.0,11,851.8,False
94.2,2,167.5,True
80.5,6,502.85,True
19.85,1,19.85,False
94.3,20,1818.3,False
106.45,61,6300.15,False
74.35,5,334.8,True
105.45,56,5916.95,False
95.0,30,2852.4,False
104.8,40,4131.95,True
54.3,28,1546.3,False
70.05,5,302.6,False
75.2,27,1929.35,True
20.05,12,265.45,False
105.4,67,6989.45,False
51.6,29,1442.0,False
85.5,55,4713.4,False
75.6,23,1758.6,True
100.05,34,3480.0,True
91.25,52,4738.3,False
115.75,72,8399.15,False
94.7,58,5430.35,False
19.6,35,686.95,False
99.9,56,5706.3,False
21.1,24,490.65,False
20.05,70,1360.25,False
79.95,2,174.45,False
107.15,68,7379.8,False
85.0,1,85.0,True
89.55,12,1021.75,False
81.55,63,5029.05,False
58.45,33,1955.4,False
95.65,69,6744.2,False
80.6,60,4946.7,False
113.1,72,8248.5,False
58.95,11,601.6,False
19.55,1,19.55,False
86.05,10,834.1,True
45.55,13,597.0,True
78.95,34,2647.2,False
86.3,39,3266.0,True
105.05,65,6744.25,False
101.9,50,5265.5,False
19.75,15,311.6,False
110.3,72,7966.9,False
115.6,72,8220.4,False
19.35,55,1153.25,False
25.6,23,514.75,False
80.35,32,2596.15,True
68.75,56,3808.0,False
19.9,1,19.9,False
70.6,38,2708.2,False
70.2,11,760.05,False
49.3,1,49.3,False
107.25,56,6033.3,False
23.6,3,89.05,False
69.7,7,516.15,False
99.5,59,5861.75,False
64.3,7,445.95,False
70.85,71,4973.4,False
101.9,15,1667.25,False
73.5,71,5357.75,False
100.25,35,3527.6,True
40.4,11,422.6,False
19.25,60,1103.25,False
59.6,47,2754.0,False
64.9,11,697.25,False
100.3,56,5614.45,True
110.85,28,3204.4,False
81.05,61,4747.65,False
98.05,31,3082.1,False
70.5,9,597.9,False
94.55,35,3365.4,False
19.65,2,38.8,False
19.0,12,233.55,True
75.3,1,75.3,True
89.2,4,346.2,True
19.0,1,19.0,False
20.0,3,61.7,False
85.7,1,85.7,True
63.25,52,3342.45,False
20.1,5,85.1,False
99.15,72,7422.1,False
90.4,71,6668.05,False
111.9,72,8071.05,False
24.9,46,1174.8,False
83.5,63,5435.0,False
84.3,30,2438.6,False
45.6,1,45.6,False
61.65,12,713.75,True
54.85,16,916.15,False
65.55,4,237.2,False
90.35,51,4614.55,False
20.4,65,1414.45,False
74.55,16,1170.5,False
19.95,2,47.7,False
74.25,66,4859.25,False
108.65,46,4903.2,False
109.55,32,3608.0,False
86.65,72,6094.25,False
81.0,38,3084.9,False
47.85,51,2356.75,False
114.55,72,8306.05,False
105.25,65,6786.4,True
29.95,9,248.95,True
65.0,9,663.05,True
20.55,66,1357.1,False
109.8,44,4860.35,False
69.5,50,3418.2,False
48.85,15,631.4,False
25.25,8,186.3,False
102.85,66,6976.75,False
87.55,57,4884.85,False
78.55,7,522.95,False
34.55,10,362.6,False
92.05,62,5755.8,False
85.05,40,3355.65,False
19.7,20,406.95,False
20.0,7,137.6,True
95.15,25,2395.7,False
84.25,23,1968.1,False
104.6,66,6819.45,False
111.65,72,7943.45,False
90.05,49,4547.25,True
110.75,43,4687.9,True
55.0,46,2473.95,False
89.85,72,6562.9,False
20.35,10,176.3,False
54.55,40,2236.2,False
105.5,65,6985.65,True
99.45,31,3109.9,False
70.9,68,4911.35,False
104.55,56,5794.65,True
85.25,10,855.3,True
25.4,68,1620.2,False
56.15,43,2499.3,True
89.55,1,89.55,True
89.85,49,4287.2,False
25.25,15,394.85,False
94.55,20,1899.65,True
45.7,1,45.7,True
69.65,50,3442.15,False
89.5,2,161.5,True
70.0,24,1732.6,False
69.55,3,222.3,True
74.6,1,74.6,True
20.1,35,655.3,False
24.8,17,475.25,False
19.65,8,164.3,True
95.1,10,865.1,False
88.85,68,6132.7,False
78.8,45,3597.5,False
19.85,2,35.9,True
20.35,37,697.65,False
24.25,4,96.05,True
45.25,10,428.7,False
20.05,1,20.05,False
69.55,65,4459.15,False
19.5,57,1167.6,False
74.75,3,238.1,False
69.65,2,145.15,True
30.2,49,1453.1,False
45.65,4,191.05,True
57.8,70,4039.3,False
19.85,53,1039.45,False
25.55,53,1336.1,False
75.05,1,75.05,True
24.85,22,493.4,False
49.15,52,2550.9,True
110.35,65,7246.15,False
24.55,48,1203.95,False
34.7,2,62.25,True
107.95,3,313.6,False
81.4,45,3775.85,False
80.0,1,80.0,True
73.8,61,4616.05,False
64.4,3,195.65,False
103.75,40,4188.4,False
71.1,1,71.1,False
49.9,1,49.9,False
24.6,51,1266.4,False
49.25,2,91.1,True
30.1,52,1623.4,False
83.4,51,4149.45,False
20.45,1,20.45,False
75.25,31,2344.5,False
20.55,47,1013.05,False
75.1,3,270.7,True
20.05,22,417.0,False
20.65,1,20.65,False
85.15,72,6316.2,False
50.15,3,168.15,True
84.95,47,4018.05,False
66.5,72,4811.6,False
63.3,66,4189.7,False
83.15,35,2848.45,False
84.9,29,2516.2,False
20.55,2,33.6,False
49.25,4,208.45,False
79.85,25,2015.35,True
59.6,65,3739.8,False
104.65,27,2964.0,False
75.3,29,2263.4,False
80.1,29,2211.8,False
19.55,1,19.55,True
81.0,20,1683.7,False
24.7,58,1519.0,False
86.0,14,1164.05,False
25.4,72,1710.9,False
89.15,46,4245.55,False
58.25,71,4145.9,False
85.65,32,2664.3,False
50.35,26,1277.5,False
80.35,68,5589.3,False
20.2,2,34.75,False
20.55,61,1305.95,False
85.95,4,381.3,True
45.35,3,141.5,True
94.5,33,3105.55,True
21.25,9,204.55,False
26.25,22,605.9,False
80.85,5,356.1,False
91.7,30,2758.15,True
74.2,65,4805.65,False
87.25,45,3941.7,True
20.35,5,92.75,False
75.5,25,1901.05,False
79.05,72,5730.7,False
90.15,27,2423.4,False
50.6,32,1653.45,False
110.45,30,3327.05,False
101.0,70,7085.5,False
79.35,42,3344.1,False
89.85,72,6697.35,False
65.0,47,2879.9,False
80.45,2,137.1,False
98.55,10,1008.55,True
24.1,61,1551.6,False
44.05,5,202.15,False
110.8,72,7882.25,False
114.95,72,8196.4,False
75.05,3,202.9,False
19.25,48,855.1,False
90.05,63,5817.0,False
56.7,27,1652.95,False
80.15,70,5600.15,False
71.35,7,515.75,False
90.35,2,190.5,False
98.55,20,1842.8,True
19.7,66,1253.8,False
19.85,3,57.2,False
85.9,15,1269.55,True
90.35,72,6563.4,False
20.8,1,20.8,False
89.25,22,1907.85,True
70.3,3,208.85,True
66.85,72,4758.8,False
19.9,65,1292.6,False
35.8,11,363.15,False
78.85,22,1600.25,False
20.4,14,275.7,False
74.25,41,3089.1,False
64.8,17,1175.6,False
20.45,11,237.3,False
93.35,15,1444.65,True
19.9,1,19.9,True
88.9,5,454.15,True
95.8,33,3036.75,True
110.65,72,8065.65,False
40.3,3,92.5,False
82.0,2,184.65,True
107.0,59,6152.3,False
45.35,2,89.5,True
73.35,71,5154.5,False
44.8,5,220.45,False
54.75,27,1510.3,False
52.2,1,52.2,True
40.6,63,2588.95,False
110.0,46,4874.8,True
55.3,72,3983.6,False
60.85,34,2003.6,False
78.4,24,1832.4,False
69.65,72,4908.25,False
59.85,60,3590.2,False
76.9,68,5023.0,False
19.85,8,146.6,False
67.65,34,2339.3,False
45.0,6,298.7,False
64.2,2,143.65,False
81.7,31,2548.65,False
25.55,20,507.4,False
20.0,1,20.0,False
96.75,62,6125.4,True
75.65,70,5411.4,False
98.5,10,1058.25,True
23.8,39,903.8,False
64.2,46,3009.5,False
85.35,6,489.45,True
76.8,72,5468.45,False
55.2,18,1058.1,False
108.55,71,7616.0,False
101.3,40,4113.1,True
69.55,1,69.55,True
103.25,58,6017.65,True
104.0,70,7250.15,True
25.25,42,1108.2,False
30.4,34,938.65,False
20.05,5,94.15,False
84.6,25,2088.05,False
86.2,2,178.7,True
103.7,55,5656.75,False
111.2,21,2317.1,True
88.0,70,5986.45,False
106.35,61,6751.35,False
79.15,43,3566.6,False
103.1,47,4889.3,False
63.95,5,318.1,False
25.8,62,1563.95,False
89.45,16,1430.25,True
95.6,7,644.35,True
25.55,14,372.45,False
90.95,60,5453.4,True
44.85,34,1442.6,False
108.55,50,5610.7,True
25.05,38,963.95,False
74.1,70,5222.3,False
88.8,37,3340.55,False
78.85,4,292.8,True
93.25,60,5774.55,False
71.4,62,4487.3,False
44.4,1,44.4,True
79.2,36,2854.95,False
20.4,44,905.55,False
100.0,55,5509.3,True
105.0,72,7589.8,False
19.8,12,229.6,True
30.85,13,394.1,False
89.9,1,89.9,True
20.55,15,295.95,False
84.85,65,5459.2,False
33.15,12,444.75,False
92.0,72,6782.15,False
89.8,72,6510.45,False
115.8,72,8476.5,False
85.15,52,4461.85,False
24.85,2,62.0,False
64.35,5,352.65,False
20.5,68,1424.9,False
100.15,62,6413.65,True
86.05,72,6309.65,False
50.8,1,50.8,True
89.0,66,5898.6,False
64.8,72,4719.75,False
19.8,26,457.3,False
93.4,64,5822.3,False
73.65,20,1463.5,True
95.1,3,307.4,True
94.65,22,2104.55,True
80.6,4,319.15,True
39.0,62,2337.45,False
20.5,5,104.3,False
85.55,59,5084.65,True
26.4,3,121.25,False
98.2,72,7015.9,False
97.55,57,5598.0,False
19.95,66,1269.1,False
50.8,60,3027.4,True
99.7,45,4634.35,False
34.8,3,113.95,False
105.1,15,1582.75,True
60.15,51,3077.0,False
64.75,60,4039.5,False
54.65,33,1665.2,False
110.1,10,1043.3,True
19.3,26,504.2,False
83.9,6,497.55,True
111.25,67,7511.65,False
35.8,49,1782.0,False
20.05,1,20.05,False
84.35,7,609.65,False
110.5,27,2857.6,False
91.2,37,3247.55,False
100.55,63,6215.35,True
89.3,31,2823.0,False
103.85,50,5017.9,True
81.1,32,2619.25,False
24.6,1,24.6,True
81.2,63,4965.1,False
94.3,30,2679.7,False
116.1,71,8310.55,False
105.55,53,5682.25,False
98.9,12,1120.95,True
94.4,50,4914.9,False
19.5,2,27.55,False
98.3,9,923.5,True
93.85,17,1625.65,True
105.6,56,6068.65,False
81.35,67,5398.6,False
100.5,9,918.6,True
56.4,4,234.85,False
65.35,19,1231.85,False
19.95,8,170.9,False
111.25,71,7984.15,False
72.85,10,688.65,True
89.0,15,1288.3,False
106.1,72,7848.5,False
20.05,12,267.0,False
25.2,72,1798.9,False
73.55,1,73.55,True
75.4,23,1643.55,False
65.55,72,4807.45,False
80.7,26,2193.0,False
104.55,21,2239.4,False
24.15,60,1505.9,False
20.45,12,255.35,False
75.4,16,1189.4,False
79.7,63,4786.15,False
81.7,22,1820.9,False
76.3,32,2404.15,False
79.4,3,205.05,True
81.15,13,952.3,True
103.75,68,7039.45,False
86.45,30,2538.05,False
75.1,16,1212.85,False
80.6,33,2651.1,False
19.3,72,1304.8,False
84.6,4,360.1,True
33.6,12,435.45,False
83.25,4,308.05,False
79.05,6,434.5,True
108.05,65,7118.9,False
19.9,15,320.45,False
21.05,24,531.55,False
30.15,13,382.2,False
79.85,24,2001.0,False
65.5,72,4919.7,False
104.1,54,5645.8,False
74.4,3,215.8,True
20.5,4,77.6,False
91.35,32,2896.55,False
99.05,35,3395.8,True
20.5,35,759.35,False
44.95,2,85.15,True
75.6,8,535.55,False
55.1,22,1253.15,False
58.95,15,955.15,False
95.1,22,2162.6,False
44.7,1,44.7,True
25.45,71,1813.35,False
56.75,4,245.15,False
81.75,25,2028.8,False
86.1,32,2723.75,False
29.8,7,220.45,False
20.5,17,365.8,False
60.9,8,551.95,False
73.25,56,4054.2,False
45.7,1,45.7,True
100.3,8,832.35,True
19.25,7,112.3,True
20.85,3,60.65,False
77.35,71,5550.1,False
96.0,2,174.8,True
90.55,1,90.55,True
93.85,49,4733.1,False
70.1,58,4048.95,False
30.35,44,1359.7,True
75.95,59,4542.35,False
108.05,71,7532.15,True
69.9,1,69.9,True
75.25,11,888.65,False
103.75,62,6383.35,True
54.95,35,1916.0,False
19.5,20,413.0,False
19.6,40,808.95,False
47.85,39,1886.4,False
86.6,1,86.6,True
23.75,72,1679.25,False
80.6,33,2656.5,True
43.8,12,540.95,False
19.75,1,19.75,False
19.15,27,537.35,False
19.6,34,678.8,False
80.3,56,4513.65,False
24.35,58,1423.85,False
25.25,22,555.4,False
26.1,10,225.55,False
20.0,13,268.45,False
85.3,35,2917.5,True
70.0,34,2416.1,True
94.3,4,424.45,True
20.7,72,1492.1,False
70.3,2,132.4,False
95.35,7,660.9,True
75.5,27,1893.95,True
69.55,4,284.9,False
19.85,37,784.25,False
20.0,21,417.7,False
95.85,53,5016.25,False
90.1,18,1612.75,True
68.95,2,119.75,True
99.55,32,3204.65,True
20.75,23,485.2,False
50.15,3,160.85,False
58.65,71,4145.25,False
95.9,9,827.45,False
49.5,1,49.5,False
57.45,18,990.85,True
53.65,12,696.35,True
80.1,71,5585.4,False
24.4,64,1601.2,False
40.05,4,162.45,False
19.5,23,470.2,False
51.05,39,2066.0,False
54.35,28,1426.45,False
84.7,5,392.5,False
86.1,45,3861.45,False
70.35,37,2552.9,False
110.0,60,6668.35,False
100.6,8,819.4,True
94.9,47,4615.25,False
83.75,26,2070.6,True
88.3,3,273.75,True
69.75,50,3557.7,False
71.6,27,1957.1,False
92.1,8,729.95,True
23.65,62,1416.75,False
81.85,71,5924.4,False
25.1,66,1697.7,False
114.7,68,7849.85,False
49.15,13,649.4,False
80.9,56,4557.5,False
79.45,38,3013.05,True
90.45,14,1266.1,True
19.3,16,360.35,False
70.2,14,1046.5,False
69.75,32,2347.9,True
54.25,8,447.75,False
99.3,43,4209.95,False
74.0,52,3877.65,False
50.25,3,152.3,False
19.8,29,572.2,False
19.65,1,19.65,True
43.65,12,526.95,True
35.5,16,552.7,False
80.75,40,3208.65,False
39.5,5,210.75,True
97.1,40,3706.95,True
19.55,36,620.75,False
80.0,5,412.5,True
84.7,10,832.05,True
89.55,2,185.55,True
90.6,23,1943.2,True
20.05,26,505.9,False
112.4,72,8046.85,False
50.2,34,1815.3,False
62.25,10,612.95,False
55.7,14,795.15,False
90.05,23,2169.8,True
19.65,47,973.1,False
89.25,24,2210.2,False
99.05,49,4853.75,True
54.0,20,1055.9,False
69.75,2,144.55,True
49.05,2,91.1,True
56.75,22,1304.85,False
98.05,7,713.0,True
21.1,1,21.1,False
96.65,59,5580.8,False
24.5,58,1497.9,False
114.5,41,4527.45,True
79.2,59,4590.35,False
69.55,3,200.2,False
20.05,32,614.45,False
98.85,46,4564.9,False
80.95,2,171.15,True
19.6,52,1012.4,False
74.3,13,940.35,True
89.7,11,1047.7,True
87.65,32,2766.4,False
100.45,17,1622.45,True
74.75,16,1129.35,False
107.45,51,5680.9,False
75.35,29,2243.9,False
64.95,70,4523.25,False
100.45,71,7159.7,False
68.5,41,2839.95,False
80.55,1,80.55,False
81.25,7,580.1,False
90.4,25,2178.6,True
89.55,67,6038.55,False
55.7,5,259.4,False
24.8,15,324.15,False
20.0,20,417.65,False
56.15,3,168.15,True
105.2,54,5637.85,False
19.55,42,839.4,False
79.75,9,769.1,False
97.45,63,6253.0,False
24.25,69,1641.8,False
24.6,69,1678.05,False
50.15,40,2058.5,False
